Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,id
0.0204081632653,0.0208083233293,0.0508203281313,0.0404161664666,0.184473789516,0.153661464586,0.0204081632653,0.142857142857,0.0344137655062,0.0384153661465,0.0660264105642,0.046818727491,0.09443777511,0.0860344137655,1
0.0301639344262,0.000655737704918,0.0845901639344,0.0918032786885,0.0104918032787,0.155409836066,0.177049180328,0.28393442623,0.0406557377049,0.00983606557377,0.0183606557377,0.00262295081967,0.0872131147541,0.0072131147541,2
0.0483460559796,0.029262086514,0.157760814249,0.0496183206107,0.0127226463104,0.239185750636,0.0356234096692,0.128498727735,0.0381679389313,0.0241730279898,0.0547073791349,0.0152671755725,0.128498727735,0.0381679389313,3
0.0120879120879,0.010989010989,0.0774725274725,0.124175824176,0.0302197802198,0.160989010989,0.0406593406593,0.262087912088,0.0340659340659,0.0335164835165,0.0489010989011,0.0230769230769,0.103296703297,0.0384615384615,4
0.0201863354037,0.0372670807453,0.0310559006211,0.240683229814,0.00155279503106,0.295031055901,0.083850931677,0.111801242236,0.114906832298,0.0139751552795,0.0124223602484,0.00155279503106,0.0341614906832,0.00155279503106,6
0.0192529842126,0.010781671159,0.0161725067385,0.0569888332692,0.340007701194,0.141701963804,0.0646900269542,0.0850981902195,0.0184828648441,0.0288794763188,0.0508278783211,0.0496726992684,0.0824027724297,0.0350404312668,7
0.0304414003044,0.0213089802131,0.027397260274,0.10197869102,0.0243531202435,0.127853881279,0.17503805175,0.164383561644,0.0517503805175,0.076103500761,0.0258751902588,0.0258751902588,0.0958904109589,0.0517503805175,9
0.0026507620941,0.0165672630881,0.0185553346587,0.053015241882,0.0304837640822,0.420808482439,0.0159045725646,0.0828363154407,0.0357852882704,0.0053015241882,0.0742213386349,0.00994035785288,0.198807157058,0.0351225977469,10
0.0306068601583,0.0158311345646,0.0786279683377,0.172031662269,0.00738786279683,0.130870712401,0.139313984169,0.177836411609,0.0770448548813,0.0437994722955,0.0332453825858,0.0274406332454,0.0459102902375,0.0200527704485,12
0.0520094562648,0.0354609929078,0.0177304964539,0.0768321513002,0.113475177305,0.0992907801418,0.0271867612293,0.132387706856,0.01536643026,0.191489361702,0.132387706856,0.0425531914894,0.00945626477541,0.0543735224586,13
0.133020344288,0.0813771517997,0.0125195618153,0.0845070422535,0.0203442879499,0.0312989045383,0.0845070422535,0.0672926447574,0.0219092331768,0.131455399061,0.12676056338,0.0876369327074,0.00156494522692,0.115805946792,14
0.0766685681689,0.0115231032516,0.0156303479749,0.195892755277,0.067769537935,0.230119794638,0.0310325156874,0.0969766115231,0.0188248716486,0.0245293782088,0.0330861380491,0.0104962920707,0.162007986309,0.0254420992584,16
0.0154639175258,0.0305313243458,0.0103092783505,0.111022997621,0.0035685963521,0.0812846946868,0.0606661379857,0.0911974623315,0.0178429817605,0.0570975416336,0.0388580491673,0.00911974623315,0.420301348136,0.0527359238699,19
