"","30_1_0.3","30_asymmetric_auto","40_asymmetric_auto","40_3_0.3","25_3_auto"
"1",0.219078128521204,0.228424670710289,0.217164661736794,0.202849871192367,0.226823489516506
"2",0.189020013177465,0.183156755358578,0.204051624626313,0.190945629576576,0.188480919494164
"3",0.138303434798966,0.123103108639617,0.14720009145627,0.150852928515482,0.134218981722378
"4",0.13264344706578,0.140270106705798,0.231759355990976,0.182182456200898,0.130896050027907
"5",0.166045963939554,0.171663080607715,0.121967163601787,0.186035971606901,0.171847672241279
"6",0.316089042658484,0.241923549067968,0.278649702368269,0.16030258912421,0.267399452628052
"7",0.103049115251256,0.141403945055174,0.128854514396935,0.127580875402125,0.105367637737267
"8",0.205682677443809,0.202840278249054,0.184773646870366,0.280357409045291,0.247751712452487
"9",0.143197479880263,0.131009411601397,0.143283686537179,0.191536584578083,0.161215027096734
"10",0.272657772525646,0.322903507745127,0.307606986646302,0.294785084577787,0.29527140435629
"11",0.29031001086674,0.310065378534491,0.361342416068733,0.318731227880356,0.33033810613507
"12",0.178649733666696,0.227735511217056,0.203557775534971,0.126100662493702,0.176261051802647
"13",0.323474159290788,0.344266815646147,0.362150885985698,0.341515950967408,0.330391497258893
"14",0.244703991557423,0.212026009926837,0.247090857304905,0.233493778701197,0.266670838503705
"15",0.311914955920598,0.29777455778645,0.293336897300862,0.326863924731899,0.296113298122312
"16",0.375516955447607,0.285866366460555,0.39935634052118,0.345383537259976,0.367441160316999
"17",0.18017409481873,0.215862354696201,0.221349917112821,0.196006509642117,0.180458225538523
"18",0.143944750818732,0.155681964166753,0.320671528164873,0.113905301018239,0.171603016818608
"19",0.238839753175651,0.211836535425536,0.209521845896746,0.210168122348383,0.227092103896466
"20",0.228926826910728,0.193172883889195,0.239429021219731,0.17043732467757,0.186853428437814
"21",0.377714535344534,0.353106945707018,0.436252685090709,0.372101547293019,0.380522666063733
"22",0.301512235120705,0.308397600974869,0.312227294855868,0.376276102001937,0.29452703280573
"23",0.278455661649293,0.281513567354046,0.299827249458233,0.296433820015604,0.288977863735025
"24",0.282493541739043,0.325226831785501,0.280351109239177,0.291401639888827,0.288691552692346
"25",0.161263744471446,0.147856714291893,0.156455493589708,0.163364197013269,0.180912928441178
"26",0.270910425602624,0.275167931882063,0.270836351713552,0.235819727868341,0.271771911941797
"27",0.304375670065187,0.281540951169023,0.256875587415037,0.318391384936323,0.290166656602047
"28",0.112828813515172,0.106307146963078,0.116247498003073,0.117869593466889,0.11287424504954
"29",0.20828738270834,0.293529445752294,0.345333194506126,0.1946686952947,0.289754140737153
"30",0.320250975860737,0.318414777004159,0.339936144195739,0.306157378677834,0.312976816114546
