0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0962893494794,0.0585799220307,,,0.0220573732017,,0.0538404449602,,0.0520846394197,0.0225435004394,0.0169299581988,,,,,0.0620921121677,0.0224518267332,0.046150842205,0.0307519344867,0.254150929759,0.0949742330297,,,,0.0221281917279,,0.134396704366,,,
0.0478134946838,,0.036745894263,,,,,0.0595359308023,,,,,,,0.0176211954216,,,0.132340858473,,0.319124237339,,0.0616918156487,,,0.193046898011,0.0442707637007,0.0770094233179,,,
0.0379545216254,,0.036987848142,,0.0367842760525,,,,0.0554403917619,0.227999072411,,,,0.0384199169577,,,,0.22884421344,,0.0145885815096,,0.13337316536,,,,,0.161991734724,,,0.0192610400872
0.0371946074481,0.120921042184,0.0136756572857,,,,,,,0.0991194875275,,0.0840060089974,,0.0105033083481,,,,,,0.341124535182,,0.0342660523365,,,,,0.113927392149,,,0.133713861349
,0.0175192183343,0.013045264373,,0.0166845749699,0.0749305235922,0.0311205610081,0.0171585019742,0.0379751515397,0.0423997465305,,,,0.0465718868569,,,,,,0.0465791528783,,,,,0.0159109446093,,,,0.583177920717,0.0415175128022
0.0589049623991,,,0.0112862263281,,,,,0.104735874294,,,0.0391645400565,0.0295697739984,,,0.0831211309083,0.0207920573046,,0.0148181863225,0.505001168433,0.0487231191275,,,,,,0.0775486356019,,,
0.0148940164922,0.0273391491319,0.0241541659324,,0.109623452046,,,0.0361393890633,,0.0156022745968,,0.027477739924,,,,0.0392225364857,,,0.0321186980813,0.637087101914,,,,,0.0354646854411,,,,,
,,0.0536979902952,,,0.0385198536055,,,,,,,,0.0280378143535,,0.0889589913152,,0.158191998322,0.0112014718641,,,,,,0.0410212826606,0.350796617559,0.0580168170939,0.165468516112,,
0.148617396092,,,,,0.608026464177,,,0.0415753577001,,,,0.078364527523,,,,0.0192313868864,,,0.0561064137538,,,,,,,,0.0209308962517,0.0122696793044,
0.165417025398,,,,0.251345696226,,,0.0401241775606,0.122818054513,,,0.0281432757832,,,,0.129917134314,0.0431989285463,,,0.17076526274,,,0.0101659652671,,,,0.014766704816,,,
,,,,0.0638185109893,,,,0.0828284513109,,,0.0705483714743,,,,,0.318925472571,,,0.392432449611,,,0.059489944984,,,,,,,
0.252470784356,,,,0.0106651074879,,,,0.270877119757,,,,0.0841653203753,,,,,0.0417713954856,0.118019491408,,,,,,0.0192798297874,0.152461742284,0.0351311706649,,,
,,,0.0369058540587,,,,,0.119764605752,0.0192252438358,,0.0490660544562,,0.0272143209221,,,0.0106125711207,,0.0227933397156,0.298810621331,0.0266916413803,,,0.0369527596061,0.0175500557781,,0.0175041155965,,0.150869972236,0.144605302901
,,,,,0.010626642999,,,0.255713553108,,,,,0.0762029855362,,0.0796926346209,,,0.0226708100233,0.082930108868,,0.064795254501,,,0.340998331472,,0.0646329613328,,,
0.458790233233,,,,0.0141420112427,,,,0.0619338611691,,,0.0174744751323,,0.164945748398,,,0.0647035299796,,,0.0320310457718,0.138015863127,,,,,,0.0313003766556,,,
,,,0.0337256283268,0.0241947746777,,,,0.343070744041,,,0.0220094343135,0.0779275263041,0.0652020704054,,,0.0631682408772,,,0.0959683773088,,0.0414606049549,0.0651150773876,0.033007146421,0.0250707204997,0.0167094218176,0.0261658714152,,,0.0657043480951
0.48441271228,,,0.0390321900609,,,,0.0191791169323,0.0881377217878,0.106578171117,,0.0599728320145,,,,,0.0637049845093,0.0887910386108,,,0.0391477230401,,,,,,,,,
,,,0.0184633619765,,,,,,,,,,,,,0.35298430086,,,0.346787676183,0.0620131583279,0.143966140591,0.0108357993703,,,,0.0302337316491,,0.0182280073915,
